电影名,主演,上映时间,评分,图片URL,本地图片路径
海边的曼彻斯特,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",2017-08-25,8.8,https://p0.pipi.cn/mmdb/d2dad5927e10fa71f78d33470ecb88087bd4a.jpg?imageView2/1/w/160/h/220,maoyan_data\images\海边的曼彻斯特.jpg
本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国),8.8,https://p0.pipi.cn/mmdb/d2dad592b1251b7e12cbae29eea203381bfed.jpg?imageView2/1/w/160/h/220,maoyan_data\images\本杰明·巴顿奇事.jpg
布达佩斯大饭店,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",2014-02-06(德国),8.7,https://p0.pipi.cn/mmdb/d2dad592b125bf21f0af338935c91623abaad.jpg?imageView2/1/w/160/h/220,maoyan_data\images\布达佩斯大饭店.jpg
哪吒之魔童闹海,"吕艳婷,瀚墨,囧森瑟夫",2025-01-29,9.8,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334520515c28b0793b67ea7fad03b546ff.jpg?imageView2/1/w/160/h/220,maoyan_data\images\哪吒之魔童闹海.jpg
让子弹飞,"姜文,周润发,葛优",2010-12-16,8.5,https://p0.pipi.cn/mmdb/d2dad592c7e7e17a357df52dda71848f04ce1.jpg?imageView2/1/w/160/h/220,maoyan_data\images\让子弹飞.jpg
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国),9.1,https://p0.pipi.cn/mmdb/d2dad592c7e7e1be2a0e13a446fd05d3d1738.jpg?imageView2/1/w/160/h/220,maoyan_data\images\乱世佳人.jpg
美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015-04-23,9.1,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d23657e268fd60af640538a.jpg?imageView2/1/w/160/h/220,maoyan_data\images\美国往事.jpg
爱在黎明破晓前,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",1995-01-27(美国),8.7,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3349a4ea6e34a1801e8493b94b34174477.jpeg?imageView2/1/w/160/h/220,maoyan_data\images\爱在黎明破晓前.jpg
美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001-12-13(美国),8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e13139230f3433fa2b4881172.jpg?imageView2/1/w/160/h/220,maoyan_data\images\美丽心灵.jpg
消失的爱人,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",2014-09-26(美国),8.7,https://p0.pipi.cn/mmdb/d2dad592b125bf9257281e7e0dca86c26545a.jpg?imageView2/1/w/160/h/220,maoyan_data\images\消失的爱人.jpg
搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10(意大利),8.7,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2365bf147f36df9fbe38e7.jpg?imageView2/1/w/160/h/220,maoyan_data\images\搏击俱乐部.jpg
